;;;;;;;;;
;;;;;Posters are uplpaded here https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/;Videos are named with the EasyChair number followed by the first author's last name;;;
54;3;3;Birgitta Burger and Clemens Wöllner;Keep the beat. Time-keeping in case of a professional drummer;"Movement
drumming
motion capture
synchronisation
time keeping";"Background
Keeping the time is an important skill when making music. Drummers, in particular classical drummers, are supposedly among the best tempo keepers, as they are to provide the temporal basis for the whole band or orchestra. While sensorimotor synchronisation mechanisms have been investigated to a large extent, it remains unclear how professional drummers internally keep a steady pace when playing.

Aim
This study aimed to investigate how a professional drummer is able to keep the tempo in a metronome-synchronisation phase and in a following tempo-continuation phase in different playing conditions relating to tempo, dynamics, and rhythmic complexity.

Method
A professional classically-trained drummer (male, age: 27) performed two different rhythms (simple, complex) at two different tempi (80, 140 BPM) on a drum kit (kick, snare, hihat) while being recorded with optical motion capture. Each performance lasted 30 seconds, with a metronome click track being provided for the first 15 seconds (metronome phase) and the drummer being instructed to keep tempo for the remaining 15 seconds without the metronome (continuation phase). He was further asked to play either loud, medium volume, or quiet, and with as much movement as possible, normal amount of movement, and as little movement as possible, resulting in 36 different combinations of dynamics-movement instructions. 

Results
Acceleration was derived from the motion capture data of the sticks. From these data, time points were extracted when the sticks hit the snare and the hi-hat respectively. These time series were analysed related to their 1) internal consistency (inter-hit difference, i.e., the temporal difference between each two consecutive hits) and 2) synchrony (hit-beat difference, i.e., temporal difference between each hit and the correct beat location). A consistency as well as a synchrony measure were derived by calculating the standard deviations of the difference series, separately for the metronome and the continuation phases. Results show that, for consistency, the standard deviations were smaller in the continuation phase than in the metronome phase, indicating the drummer was internally more consistent when the metronome was not present (snare: t(35)=3.47, p=.001; hi-hat: t(35)=3.91, p<.001). In case of synchrony, results show that the standard deviations were larger in the continuation phase than in the metronome phase, suggesting that the drummer met the target tempo more accurately when playing with the metronome (snare: t(35)=-4.71, p<.001; hi-hat: t(35)=-4.64, p<.001). Neither tempo, rhythmic complexity, nor the different playing conditions affected these general results.

Discussion
These results suggest that integrating an external time base (metronome) leads to more accurate keeping of the intended target tempo, but also to higher inter-hit variability, suggesting it being an effort to perform the hits at the temporally exact beat/metronome location. While playing without the external time base yielded less accurate tempo keeping, it indicated more consistent internal timing. This implies that the drummer was able to follow his ‘inner’ clock and play less inhibited when performing without the metronome. Overall, the drummer performed relatively constant despite the different conditions. These outcomes provide valuable insights into timing mechanisms of highly skilled performers.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9354%20burger.m4v?vrtx=view-as-webpage;
46;3;4;Eniko Ladanyi, Catherine Bush, Youjia Wang, Tiffany G. Woynaroski, Miriam D. Lense and Reyna L. Gordon;Relationships of infant vocabulary development with parent musicality, rhythm skills and home music environment;"infant vocabulary development
home music environment
rhythm
musicality
parent-child associations";"Previous research has shown associations between rhythm and language skills (Gordon, Shivers, et al., 2015; Woodruff Carr, White-Schwoch, Tierney, Strait, & Kraus, 2014) and moderate to high heritability of both rhythm- and language-related traits (Ullén, Mosing, Holm, Eriksson, & Guy, 2014; Hayiou‐Thomas, Dale, & Plomin, 2012). In addition, home music environment of the child and self-reported musicality of the parent were related to language skills of preschool-aged children (Politimou, Dalla Bella, Farrugia, & Franco, 2019). Motivated by these results, the current study aimed to: 1) investigate if the association of language development with music environment as well as with parent musicality extends to infancy, and 2) evaluate whether early language development is also associated with parent rhythm processing measured behaviorally.
Data were collected from n = 45 parents participating in the Family GAMEs study (Grammar And Music Exercises for the whole Family), a longitudinal study on various predictors of language development. As a part of this study, parents completed a rhythm discrimination test as a behavioral measure of rhythm skills (shortened version of the Beat-Based Advantage test; Grahn & Brett, 2007), a self-reported musicality questionnaire (Goldsmiths Musical Sophistication Index; Müllensiefen, Gingras, Musil, & Stewart, 2014) and a questionnaire on home music environment of the child (Music@Home; Politimou, Stewart, Müllensiefen, & Franco, 2018) when their infant was between 6 and 12 months. They also completed the MacArthur-Bates Communicative Development Inventories (Fenson, 2007) as a measure of expressive vocabulary development at 12 (n = 39), 18 (n = 42) and 24 (n = 21) months of age (n differs across ages due to attrition [12 and 18 months] and ongoing data collection [24 months]).
Our preliminary results showed a positive association of 24-mo vocabulary with parent self-reported musicality (r(19) = .47, p = .030) as well as with home music home environment (r(19) = .45, p = .042). Vocabulary at 18 months was also associated with music environment (r(40) = .38, p = .012). An exploratory analysis of associations with parents’ self-reported musicality and music environment subscales revealed a positive relation between vocabulary size at each age and parent-initiated singing, which tended to become stronger with age (12mo: r(37) = .32, p = .034; 18mo: r(40) = .47, p = .002; 24mo: r(19) = .56, p = .008). Parent rhythm skills measured behaviorally did not show a significant association with any of the child vocabulary measures.
These results suggest that parent musicality as well as the home musical environment during infancy are linked with language development as early as 2 years of age. After completing data collection, we plan to investigate the relative contribution of parent musicality and environment at different stages of language development with path models to better understand the interplay between these variables. Our results could motivate further research on enriched music environment as a potential protective factor in developmental language disorders.

References
Fenson, L. (2007). MacArthur-Bates Communicative Development Inventories. Brookes Publishing.

Gordon, R. L., Shivers, C. M., Wieland, E. A., Kotz, S. A., Yoder, P. J., & Devin McAuley, J. (2015). Musical rhythm discrimination explains individual differences in grammar skills in children. Developmental Science, 18(4), 635–644. https://doi.org/10.1111/desc.12230

Grahn, J. A., & Brett, M. (2007). Rhythm and beat perception in motor areas of the brain. Journal of Cognitive Neuroscience, 19(5), 893–906. https://doi.org/10.1162/jocn.2007.19.5.893

Hayiou-Thomas, M. E., Dale, P. S., & Plomin, R. (2012). The etiology of variation in language skills changes with development: A longitudinal twin study of language from 2 to 12 years. Developmental Science, 15(2), 233–249. https://doi.org/10.1111/j.1467-7687.2011.01119.x

Müllensiefen D., Gingras B., Musil J., & Stewart L. (2014). The musicality of non-musicians: An index for assessing musical sophistication in the general population. PLoS ONE, 9(2), Article e89642. https://doi.org/10.1371/journal.pone.0089642

Politimou, N., Dalla Bella, S., Farrugia, N., & Franco, F. (2019). Born to speak and sing: Musical predictors of language development in pre‐schoolers. Frontiers in Psychology, 10, Article 948. https://doi.org/10.3389/fpsyg.2019.00948

Politimou, N., Stewart, L., Müllensiefen, D., & Franco, F. (2018). Music@Home: A novel instrument to assess the home musical environment in the early years. PloS ONE, 13(4), Article e0193819. https://doi.org/10.1371/journal.pone.0193819

Ullén, F., Mosing, M. A., Holm, L., Eriksson, H., & Madison, G. (2014). Psychometric properties and heritability of a new online test for musicality, the Swedish Musical Discrimination Test. Personality and Individual Differences, 63, 87–93. https://doi.org/10.1016/j.paid.2014.01.057

Woodruff Carr, K., White-Schwoch, T., Tierney, A. T., Strait, D. L., & Kraus, N. (2014). Beat synchronization predicts neural speech encoding and reading readiness in preschoolers. Proceedings of the National Academy of Sciences of the United States of America, 111(40),
14559–14564. https://doi.org/10.1073/pnas.1406219111";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9346%20ladanyi.mov?vrtx=view-as-webpage;
39;3;5;Francesco Ganis, Sofia Dahl, Guilherme Schmidt Câmara and Anne Danielsen;Beat precision and perceived danceability in drum grooves;"danceability
micro-timing
groove
urge-to-move
rhythm
drumming performance";"Musicians can place the time-position of events with high precision and according to personal preference, genre and tempo [1]. For instance, the swing ratio is not kept constant, but it is systematically adapted to a global tempo [2]. In contemporary music, drummers can achieve a specific feel by manipulating the timing of rhythms in different ways and placing event onsets earlier or later compared to the time reference [1]. These small adjustments in time are also referred to as micro-timing variations.
The aim of this study was to investigate the influence of micro-timing variations in live-played rhythms on the perceived danceability and timing precision. The stimuli were chosen from Câmara et al. [1] where drummers were playing two different patterns with different timing styles (laid-back, pushed, on-beat). Two drummers’ performances were selected based on their reported average systematic timing. These 12 recordings were mixed with the instrumental backing track (bass and guitar) heard by the drummers to form the stimuli.
Forty participants (M = 28.23 years, SD = 11.80), 28 males and 12 females, with varying musical background were recruited via social media (Facebook pages, groups and direct messages to chat groups). Participants were sent a link to the online listening test using Google Forms with modifications that presented the stimuli as embedded videos. Each video started with a prompt to wear headphones followed by 4 bars of groove for a total of 11 seconds (with a static image). For each page, the participant was presented with a reference track (on-beat timing) and a “beat” track (laid-back or pushed timing) and asked to rate the perceived danceability from 1 (not danceable at all) to 5 (very danceable). Additionally, listeners were asked to compare the beat with the reference track and indicate whether this was pushed (ahead), laid-back (behind) or on-beat (synced with) the reference in terms of timing.
Preliminary results indicate that micro-timing variations affect the perceived danceability. On-beat patterns were rated with the highest danceability, followed by laid-back and pushed styles. The drummer that obtained the highest danceability rating for the laid-back performance is also the one that was mainly recognized as on-beat performer. As expected, identification of timing (ahead, behind or on) proved to be difficult. Using the instrumental backing track as a time reference could possibly have made the task even harder for untrained listeners. Future research could address this by comparing danceability ratings for the grooves mixed with different backing tracks. 

References
[1]	G. S. Câmara, K. Nymoen, O. Lartillot, and A. Danielsen, “Timing Is Everything…Or Is It? Effects of Instructed Timing Style, Reference, and Pattern on Drum Kit Sound in Groove-Based Performance,” Music Percept., vol. 38, no. 1, pp. 1–26, Sep. 2020, doi: 10.1525/mp.2020.38.1.1.
[2]	H. Honing and W. B. de Haas, “Swing Once More: Relating Timing and Tempo in Expert Jazz Drumming,” Music Percept., vol. 25, no. 5, pp. 471–476, Jun. 2008, doi: 10.1525/mp.2008.25.5.471.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9339%20ganis.mp4?vrtx=view-as-webpage;
125;3;6;George Sioros;A dynamic time warping method for the classification and quantification of expressive timing relations in musical signals;"Dynamic Time Warping
DTW
expressive timing
classification";"Background:

Musical signals are commonly represented as time series and their analysis is often focused on the similarity of their amplitude and shape as well as in their temporal characteristics. A widespread similarity measure for time series is the Dynamic Time Warping distance (DTW). The DTW algorithm finds the optimal alignment between the time series prior to measuring their amplitude difference to avoid artifacts that arise from the signals being distorted in time. Several variants of the algorithm have been developed over the last two decades that greatly improved its performance (e.g. [1, 2]). While most of those variants are centered in shape and amplitude differences, here we focus on the similarity of time series in the temporal domain and the recently proposed Time Alignment Measurement (TAM) [3]. We evaluate the TAM in the classification of music related signals that comprise rhythmic variations and a steady beat and propose an alternative method for the task that outperforms it.  

Method:

We conducted two classification experiments. In the first experiment, 30 time series were produced from a set of 10 simple piano melodies taken from a previous study [4]. The set consists of mechanical “deadpan” interpretations of the melodies and 2 additional algorithmic variations of each melody. The tempo and beat duration were kept constant throughout the music examples and the rhythmic variations took place within the beat duration in the form of pickups and syncopations. 

In the second experiment, we asked 21 participants to follow the motion of a sound in space with their hand, while their movement was recorded in a 3D motion capture system. The sound was oscillating between two points in three different motion patterns. While the period of the oscillation was constant producing the sensation of a steady beat, the patterns differ in the speed with which the sound traveled between the two points.

We implemented two Nearest Neighbor classifiers (1-NN) using: 1) the TAM distance between time series, 2) a simple Euclidean distance. 

Results and Conclusion

The TAM distance showed limited success in the tasks. In the first experiment, TAM outperformed the Euclidian classifier, although both classifiers had high error rates (TAM=50%, EUC=65%) . In the second experiment TAM achieved a lower error rate (41%), though, it was outperformed by the Euclidean classifier (e.r.=16%). The better performance of the Euclidean distance is not the result of a more effective measurement of timing differences in the signals but rather of the incidental differences in amplitude.
 
Motivated by the findings of our experiments, we developed a novel method for the quantification of timing similarities that uses a transformation of the time warping paths produced by the DTW to directly compare them. The method outperforms the other classifiers in the two experiments (error rates 7% and 5%).  Furthermore, we demonstrate how the statistical processing of the transformed warping paths delivers insights on the timing relations between the signals.  


References:

[1]	J. Zhao and L. Itti, “shapeDTW: Shape Dynamic Time Warping,” Pattern Recognit., vol. 74, no. c, pp. 171–184, 2018.
[2]	F. Petitjean, A. Ketterlin, and P. Gançarski, “A global averaging method for dynamic time warping, with applications to clustering,” Pattern Recognit., vol. 44, no. 3, pp. 678–693, 2011.
[3]	D. Folgado, M. Barandas, R. Matias, R. Martins, M. Carvalho, and H. Gamboa, “Time Alignment Measurement for Time Series,” Pattern Recognit., vol. 81, pp. 268–279, 2018.
[4]	G. Sioros, M. Miron, M. Davies, F. Gouyon, and G. Madison, “Syncopation creates the sensation of groove in synthesized music examples,” Front. Psychol., vol. 5, p. 1036, Sep. 2014.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93125%20sioros.mp4?vrtx=view-as-webpage;
36;3;7;Haley Kragness, Idila Yogeswaran and Laura Cirelli;Children’s social attributions of synchronous movers;"synchrony
movement
development
affiliation";"Moving together synchronously is a prominent feature of cultural activities (i.e. rituals, musical engagement) across the globe. Moving in synchrony increases mutual aid, trust, and affection amongst those moving together, even in young children (e.g. Cirelli et al., 2014; Rennung & Göritz, 2016). Similarly, infants and adults expect synchronously-moving people to display more prosocial behaviours towards each other than asynchronously-moving people (e.g. Cirelli et al., 2018). These expectations suggest that synchrony is a cue for inferring social affiliation, but the little is known about the specific nature of that affiliation. Previous research has shown that children use social information – for instance, whether two people know vs. like the same songs – to make inferences about the relationship between those people (Soley, 2019). Here, we investigate how observing interpersonal synchrony guides children’s social expectations. Specifically, do children believe that people moving together are more likely to share knowledge, to share preferences, or to share both? 

After receiving instructions from a research assistant over Zoom, children (6 to 7 years of age, current N = 28, target N = 50) independently complete the experiment through a game-like online program. On each trial (16 total), children first watch a 7-second video of three novel characters (familiarization phase). All the characters move side to side. The target character in the middle moves synchronously at the same tempo (either 100 or 140 beats per minute) with either the character on their left or right, while the third character moves at a different tempo (asynchronously). Next (test phase), the child was asked two questions: which test character(s) share knowledge (“who also knows about ___?”) and which test character(s) share preferences (“who also likes ____?”) with the target character (“left, right, or both”). At the end of the experiment, participants’ recall for 6 “old” characters (3 sync and 3 async movers) and 6 “new” characters was assessed. 

We have two preregistered predictions: 1) synchrony will guide social expectations for group membership and friendship. Children will select the synchronous partner more often than chance in both the shared knowledge and shared preference conditions. 2)  synchrony will especially convey specific affiliation, in that the bias toward selecting the synchronous partner in the “shared preference” condition will be significantly stronger than in the “shared knowledge” condition. In an additional exploratory analysis, we will also investigate if children have superior visual memory for the synchronous characters, which would then suggest that the synchronous movement particularly attracted their attention. 

Results of the present study will allow us to acquire further knowledge regarding children’s use of interpersonal synchrony as a signal for understanding social relationships. Indeed, significant debate exists regarding the evolutionary roots of interpersonal synchrony and its effect on prosocial behavior. The present study will further the discussion through examining the kinds of social relationships children infer by observing synchrony. 


Note: We would like this submission to be considered for a poster.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9336%20kragness%20Children%E2%80%99s%20social%20attributions.mp4?vrtx=view-as-webpage;
73;3;8;Jan Stupacher, Cecilie Møller, Alexandre Celma-Miralles and Peter Vuust;The bass lays down the beat in polyrhythms;"polyrhythm
beat induction
finger tapping
bass frequencies";"To make sense of musical rhythms we group events and subdivide time; we create metrical structures. Polyrhythms contain two different metrical structures that compete against each other to become the fundament that allows us to perceive a beat. One factor influencing which structure is preferred as the metrical fundament is pitch. Bass frequencies are important for movement induction, such as tapping in time with the beat and dancing (Hove et al., 2020; Stupacher at al., 2016; van Dyck et al., 2013; Varlet et al., 2020). Rhythmic elements with lower pitch increase the sensitivity to timing variation on behavioral and neural levels (Hove et al., 2014), and EEG activity at meter-related frequencies increases with lower pitched sounds (Lenc et al., 2019). Here, we investigated the effect of low pitch on beat perception in polyrhythms.

Stimuli consisted of 2:3 and 3:4 polyrhythms with isochronous pulse trains at tempi of 90:135 and 90:120 BPM, respectively. In each polyrhythm, one of the pulse trains was a low-pitched marimba sound with a peak frequency of 262 Hz and the other a high-pitched marimba sound with a peak frequency of 1047 Hz. This manipulation was counterbalanced. In an online paradigm, we asked 80 participants to tap in time with the perceived beat of each stimulus. The dependent variable was defined as the tapping consistency—the mean vector length in circular statistics—in time with the slow pulse train minus the tapping consistency in time with the fast pulse train. Values close to -1 indicated that participants consistently tapped in time with the slow pulse train, whereas values close to 1 indicated that participants consistently tapped in time with the fast pulse train. We expected participants’ tapping responses to reflect a preference for the pulse trains with lower pitch.

As hypothesized, pulse trains with lower pitch were more likely to be perceived as the beat. This was indicated by two individual Wilcoxon tests showing significant effects of pitch in 2:3 and 3:4 polyrhythms (Z = -4.98, p < .001, r = .56; Z = -5.52, p < .001, r = .62). In line with our findings from two previous experiments, we additionally observed a preference for tapping in time with the pulse trains in which the subdivisions, i.e., the least common denominator, can be grouped binarily compared to ternarily. This was indicated by a preference for the 3 pulse train in both the 2:3 and the 3:4 polyrhythms.

Our findings suggest that preferences for synchronizing movement to rhythmic elements with lower pitch is not only evident in simple rhythms but also in polyrhythms. Physiological not mutually exclusive factors driving the bass superiority effect include tactile stimulation (Hove et al., 2020), vestibular stimulation (Todd & Lee, 2015), and encoding in the auditory pathway (Hove et al., 2014). Whether other factors influencing the bass-beat-movement connection are learned by exposure to music with important rhythmic information produced by bass instruments or innate and potentially driven by evolutionary pressures remain open questions.

References

Hove, M. J., Marie, C., Bruce, I. C., & Trainor, L. J. (2014). Superior time perception for lower musical pitch explains why bass-ranged instruments lay down musical rhythms. Proceedings of the National Academy of Sciences, 111(28), 10383–10388. https://doi.org/10.1073/pnas.1402039111

Hove, Michael J., Martinez, S. A., & Stupacher, J. (2020). Feel the bass: Music presented to tactile and auditory modalities increases aesthetic appreciation and body movement. Journal of Experimental Psychology: General, 149(6), 1137–1147. https://doi.org/10.1037/xge0000708

Lenc, T., Keller, P. E., Varlet, M., & Nozaradan, S. (2018). Neural tracking of the musical beat is enhanced by low-frequency sounds. Proceedings of the National Academy of Sciences, 115(32), 8221–8226. https://doi.org/10.1073/pnas.1801421115

Stupacher, J., Hove, M. J., & Janata, P. (2016). Audio features underlying perceived groove and sensorimotor synchronization in music. Music Perception, 33(5), 571–589. https://doi.org/10.1525/mp.2016.33.5.571

Todd, N. P. M., & Lee, C. S. (2015). The sensory-motor theory of rhythm and beat induction 20 years on: A new synthesis and future perspectives. Frontiers in Human Neuroscience, 9, 444. http://dx.doi.org/10.3389/fnhum.2015.00444 

Van Dyck, E., Moelants, D., Demey, M., Deweppe, A., Coussement, P., & Leman, M. (2013). The impact of the bass drum on human dance movement. Music Perception, 30(4), 349–359. https://doi.org/10.1525/mp.2013.30.4.349

Varlet, M., Williams, R., & Keller, P. E. (2020). Effects of pitch and tempo of auditory rhythms on spontaneous movement entrainment and stabilisation. Psychological Research, 84, 568–584. https://doi.org/10.1007/s00426-018-1074-8";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9373%20stupacher.mp4?vrtx=view-as-webpage;
42;3;9;Laura Bishop, Alexander Refsum Jensenius and Bruno Laeng;Musical and bodily predictors of mental effort in string quartet music: An ecological pupillometry study of performers and listeners;"ensemble performance
pupillometry
attention
music listening
music expression";"Certain musical features are attention-grabbing for listeners. These include ""surprising"" pitches that deviate from an established tonal context and notes that deviate from strict rhythmic regularity (i.e., microtiming). Attention also fluctuates in response to musical rhythms, reflecting listeners' entrainment with the music. For music performers, processing of these structural features must occur in addition to the planning and execution of a complex set of (sound-producing and expressive) action sequences. Motor production, therefore, places additional demands on performers' attention. The rhythm of listeners' and performers' moment-to-moment attention fluctuations can be captured using pupillometry. Psychophysiological research has shown that pupil dilations relate to increases in attention and cognitive arousal. In this study, we used pupil diameter as an index of mental effort (intensity of attention) in listeners and performers. Our aim was to show how the rhythm of attention fluctuations relates to changes in musical complexity, technical demands, and expressive difficulty. A secondary aim was to show how performers' cognitive arousal evolves across the course of a live concert in which different repertoire is played and the performers' musical roles vary. 

We captured pupil data from the members of a classical string quartet as they rehearsed and performed a concert (for live audience and an examiner) in our lab. Afterwards, the musicians provided ratings of the harmonic complexity, technical difficulty, and expressive difficulty of the music (per bar for each piece). The audio recordings from the quartet's concert performance were then played for an independent sample of musically-trained listeners, whose pupil data were also collected. We took a modelling approach to evaluate the effects of musical complexity (using performers' ratings of harmonic complexity, and a score-based measure of harmonic tension), bodily effort (using performers' head and arm motion, sound level, and performers' ratings of technical difficulty), and expressive difficulty (using performers' ratings of expressive difficulty) to listeners' and performers' pupil diameter. 

Our results show stimulating effects of bodily effort and expressive difficulty on performers' pupil diameters, and stimulating effects of expressive difficulty on listeners' pupil diameters. We also found negative effects of musical complexity on both performers and listeners, and negative effects of performers' bodily effort on listeners, which may reflect the complex relationships that these features share with other aspects of musical structure. The performers showed differences in average pupil diameter across the four pieces that they played during the concert. These differences were particularly notable for the violinists, who exchanged places halfway through the concert: both violinists showed more dilated pupils during their turns as 1st violinist than when playing as 2nd violinist. This finding aligns with earlier anecdotal evidence that 1st violinists (who traditionally have a leading role in a quartet) experience heightened cognitive arousal. In conclusion, our study shows how performers' and listeners' attention fluctuations form an irregular rhythm that shares a complex relationship with musical structure, yet is predictably informed by features of body motion and expressivity. This study also presents an innovative example of how pupillometry and motion capture techniques can be used in combination to evaluate cognitive processing in ecological conditions.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9342%20bishop.mp4?vrtx=view-as-webpage;
99;3;10;Leigh VanHandel, Zachary Lookenbill, Gerardo Lopez and J. Devin McAuley;Rhythmic complexity and tempo anchoring effects in tempo determination;"Tempo
Rhythmic complexity
Rhythm
Hypermeter";"Background
Tempo research has concentrated on preferred tempo, tempo memory, and tempo identification/discrimination. However, there has been very little research on the mental process I call tempo determination, or the active process of determining an appropriate tempo based on melodic, rhythmic, and harmonic cues.


Aims
This project investigates the role of rhythmic characteristics such as syncopation, rhythmic variability, and density in the tempo determination process and on perceived complexity. The hypothesis based on prior research was that participants would determine a slower tempo for more complex stimuli and a faster tempo for less complex. 


Methods
Rhythmic stimuli were both created for this study and drawn from previous work on rhythmic complexity (Povel and Essens 1985, Essens 1995), and were systematically varied by the amount of syncopation, rhythmic variability, and density (Patel and Daniele 2003; Gomez et. al 2005; Eerola et. al 2019). In addition, we used existing rhythmic complexity measures (Thul and Toussaint 2008; Shmulevich and Povel 2010; Hoesl and Senn 2018) to ensure stimuli represented a range of complexity based on their criteria. 

Subjects were assigned to a Fast (150bpm, 400ms IOI) or Slow (75bpm, 800ms IOI) starting tempo condition. They heard a repeating rhythmic pattern and manipulated the tempo in real time using a spin wheel. Each subject heard each rhythmic patterns with no metrical context (the No Context condition) and alternating with four isochronous pulses to establish a metrical context (the Context condition). Their task was to determine the appropriate tempo for each stimulus, and then to tap along with the rhythm at their determined tempo to clarify sub- or hypermetrical processing. Participants also provided a perceived complexity rating for each rhythmic pattern. 


Results
Perceived complexity did not have an effect on tempo determination, leading to a rejected initial hypothesis. Starting tempo condition and the characteristic of density showed significant effects: starting tempo was the primary predictor of final tempo, and rhythms with higher densities resulted in slower overall tempo selections. Other findings show that the slower starting tempo condition resulted in a wider range of determined tempos, and that there are effects of musical training on whether subjects tapped hypermetrically.


Conclusions and Implications
This experiment is part of a larger project that previously demonstrated that melodic characteristics have a significant overall effect on tempo determination. The results here suggest an intricate interrelation between rhythm and tempo determination, mainly that appropriate tempo appears to be governed by context rather than by a pattern’s rhythmic characteristics. The research has important implications for performance practice, pedagogy, and interpreting hypermetrical hearing.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9399%20VanHandel.mp4?vrtx=view-as-webpage;
65;3;11;Min Li, Dominic Ward, Ryan Stables, Chua, Howe, Quinn and Alan Wing;Synchronising with a violin duet;"Synchronisation
Timing
Ensemble
Modelling";The control of relative timing is evident in many social activities including synchronisation in music performance. The Linear Phase Correction Model of musical ensemble (Wing et al., 2014) suggests each player in a string quartet corrects the timing of their next note in proportion to the asynchrony with fellow players on the previous note. To examine melodic and rhythmic influences on this correction in a live musical setting, 12 participants played a violin melody part in synchrony with a violin duet who played the same melody and an accompaniment pitched below the melody. In half of the trials, the duet’s melody was played live, and in the other half it was a recording, which was not made explicit to the participants. In both cases, the accompaniment was always a recording. The timing structure of the duet was either simple (both parts in 2/4 time), or complex (melody in 2/4 and accompaniment in 6/8 time). After each trial, participants rated the perceived influence of melody and accompaniment on the timing of their playing. Timing performance, measured using note acoustic onsets, revealed higher correction gains in the linear phase correction model with the melody than with the accompaniment, and the effect was more apparent in the complex timing condition. Complementing this finding, ratings of perceived influence indicated greater influence of the melody than the accompaniment, especially in the simple timing condition. There was no effect of whether the melody was live or recorded. These patterns of correction and perceived influence indicate players take correction cues from the score part that is more similar to their own in terms of melody and rhythmic structure.;;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9365%20li.mov?vrtx=view-as-webpage;
110;3;12;Signe Hagner, Cecilie Møller and Peter Vuust;A bodily hierarchy of rhythm performance – effects of musicianship;"Rhythm production
Perception/action
Prediction
Coordination";"Entraining to a musical beat by means of body movement is a way to reinforce the metrical model predicted by the brain. These body movements assist in maintaining and exercising the underlying beat in a non-isochronous sequence. As such, they play a facilitatory role, creating a figure/ground relationship between the auditory rhythms and the metric body movements – a relationship between rhythm and meter also found in music theory. Moving to the beat not only takes place when we listen to music, but also when we produce it. Performing figure and ground simultaneously is a complicated action that involves coordination of different limbs. In the current study, we studied the dynamically changing roles of voice, hands and feet during simultaneous performance of rhythm and beat. 60 right-handed professional musicians, amateur-musicians and non-musicians each performed three short rhythms and their underlying beat in twelve different combinations of hands, feet and voice. 
	Results suggested the existence of a bodily hierarchy with the levels: (5) voice --> (4) right hand --> (3) left hand --> (2) right foot --> (1) left foot, indicating that participants preferred to perform the rhythm using a higher order limb than the limb keeping the beat. Importantly, the preferred roles of the limbs in the bodily hierarchy differed according to combination: While it was easier for them to use a hand to keep the beat while vocalizing a rhythm than doing the opposite, participants preferred to use a hand for performing the rhythm when combining it with a foot, which in that case had to stamp the beat. While performance generally increased with expertise, the hierarchical pattern was consistent in all three expertise groups. However, musicians were less affected by performing against the hierarchy than non-musicians. 
	The notion of a bodily rhythm/meter hierarchy between voice, hands and feet raises questions about our understanding of the interaction and lateralization of rhythm and meter in the brain. It shows that the conduct-support role of the different limbs is key in the coordination between voice and body; performance level of the same limb combination can differ considerably, depending on which limb takes the supporting role of the meter and the conducting role of the rhythm. Furthermore, results show how perception influences action by indicating that to musicians, the robustness of their metric prediction model transforms the task of combining rhythm and meter into one unified action where the meter is the implied ground of the rhythmic figure. To the non-musicians with less robust prediction models, the figure/ground relationship between the rhythm and its metrical model is not as well-established, making it a harder task of coordinating two equal components.";https://youtu.be/w6wkhDmDReM;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93110%20hagner.mov?vrtx=view-as-webpage;
